trip_index,station1,station2,distance,duration,node0,node1,node2
426,1800,1874,65.6,69.44,0,2,1
427,1800,1868,67.44,70.68,0,2,1
428,1800,1869,66.37,68.25,0,2,1
429,1800,1877,65.12,71.84,0,2,1
430,1813,1728,11.5,16.33,0,2,1
431,1813,1739,20.42,32.81,0,2,1
432,1813,1824,12.9,20.06,0,1,2
433,1813,253,21.87,35.22,0,2,1
434,1813,264,16.09,30.79,0,2,1
435,1813,1814,14.18,23.22,0,2,1
436,1813,2259,14.18,23.55,0,2,1
437,1813,252,22.23,36.22,0,2,1
438,1813,246,16.32,31.45,0,2,1
439,1813,250,13.86,22.03,0,1,2
440,1813,254,22.27,36.28,0,2,1
441,1813,1818,16.25,29.14,0,1,2
442,1813,1090,14.19,23,0,1,2
443,1813,285,15.34,25.44,0,1,2
444,1813,358,14.45,23.8,0,2,1
445,1813,1042,22.58,37.17,0,2,1
446,1813,1727,17.14,33.51,0,1,2
447,1813,1091,16.77,30.25,0,1,2
448,1813,1769,14.45,23.8,0,2,1
449,1813,1731,16.95,30.95,0,1,2
450,1813,256,15.32,25.88,0,2,1
451,1813,1726,16.39,31.38,0,2,1
452,1813,265,16.82,32.6,0,2,1
453,1813,225,16.24,29.25,0,1,2
454,1813,1096,16.83,32.75,0,2,1
455,1813,1097,17.57,34.4,0,2,1
456,1813,1729,15.41,26.16,0,2,1
457,1813,1052,17.16,31.25,0,2,1
458,1813,2268,15.42,25.94,0,2,1
459,1813,1017,16.96,32.96,0,2,1
460,1813,1730,15.79,26.93,0,2,1
461,1813,251,15.88,27.78,0,2,1
462,1813,1028,16.73,30.2,0,2,1
463,1813,171,17.21,33.7,0,1,2
464,1813,1798,17.14,31.22,0,2,1
465,1813,248,17.3,33.82,0,1,2
466,1813,189,18.33,34.14,0,1,2
467,1813,183,17.32,31.21,0,1,2
468,1813,259,16.68,30.09,0,2,1
469,1813,1098,18.78,37.45,0,1,2
470,1813,1024,18.29,36.2,0,1,2
471,1813,1745,16.72,29.58,0,2,1
472,1813,1743,16.53,28.7,0,2,1
473,1813,262,16.35,28.14,0,2,1
474,1813,1019,18.03,33.21,0,2,1
475,1813,260,18.72,35.17,0,2,1
476,1813,1051,19.24,38.79,0,2,1
477,1813,1768,19.42,38.94,0,1,2
478,1813,1720,17.2,30.31,0,2,1
479,1813,296,18.74,34.98,0,2,1
480,1813,1737,17.18,30.33,0,2,1
481,1813,1721,19.37,36.76,0,2,1
482,1813,289,18.11,32.98,0,2,1
483,1813,1031,18.21,33.47,0,2,1
484,1813,1039,19.45,36.19,0,2,1
485,1813,1767,19.93,40.21,0,1,2
486,1813,247,18.2,32.91,0,2,1
487,1813,1038,17.92,29.68,0,1,2
488,1813,258,18.35,33.12,0,2,1
489,1813,249,19.95,37.98,0,2,1
490,1813,1744,22.43,41.88,0,2,1
491,1813,1050,19.88,37.78,0,2,1
492,1813,1821,18.96,35.33,0,2,1
493,1813,1748,22.51,42.06,0,2,1
494,1813,1809,22.86,43.17,0,2,1
495,1813,1749,18.82,34.57,0,2,1
496,1813,1823,21.57,42.08,0,2,1
497,1813,1763,18.96,34.63,0,2,1
498,1813,1102,21.03,40.66,0,2,1
499,1813,1025,21.61,42.07,0,2,1
500,1813,1092,22.11,42.8,0,2,1
501,1813,1765,21.12,40.84,0,2,1
502,1813,1753,20.73,36.73,0,1,2
503,1813,349,20.15,36.94,0,2,1
504,1813,1093,21.25,39.75,0,2,1
505,1813,1808,22.88,45.14,0,2,1
506,1813,1738,22.12,42.46,0,2,1
507,1813,1752,21.44,37.08,0,2,1
508,1813,1757,34.3,48.17,0,2,1
509,1813,1756,21.79,38.24,0,1,2
510,1813,1055,22.64,43.69,0,2,1
511,1813,1754,23.33,45.18,0,2,1
512,1813,1764,23.03,39.64,0,1,2
513,1813,1799,23.75,45.23,0,2,1
514,1813,1770,24.63,46.79,0,2,1
515,1813,1766,25.91,49.7,0,2,1
516,1813,1725,26.98,50.33,0,2,1
517,1813,1747,27.27,51.03,0,2,1
518,1813,1815,42.86,52.41,0,2,1
519,1813,1722,31.72,55.14,0,1,2
520,1813,1807,44.46,51.38,0,2,1
521,1813,1822,57.41,50.92,0,2,1
522,1813,1859,44.99,53.73,0,2,1
523,1813,1819,59.47,54.94,0,2,1
524,1813,1820,61.97,59.74,0,2,1
525,1813,1860,49.65,57.74,0,1,2
526,1813,1864,57.06,65.28,0,2,1
527,1813,1865,55.85,61.92,0,2,1
528,1813,1870,55.64,61.41,0,2,1
529,1813,1871,60.29,65.16,0,2,1
530,1813,1866,63.72,65.56,0,2,1
