,start_station_name,end_station_name,count
417,Canonmills,IGMM - Western General,5
418,Canonmills,Inverleith Row,1
419,Canonmills,Kings Building 2,9
420,Canonmills,Kings Building 3,5
421,Canonmills,Lauriston Place,1
422,Canonmills,Leith Walk,10
423,Canonmills,Leith Walk North,6
424,Canonmills,Logie Green Road,4
425,Canonmills,McDonald Road,9
426,Canonmills,Meadow Place,1
427,Canonmills,Ocean Terminal,9
428,Canonmills,Picardy Place,4
429,Canonmills,Portobello - Kings Road,6
430,Canonmills,Scotland Street,8
431,Canonmills,South Trinity Road,19
432,Canonmills,St Andrew Square,2
433,Canonmills,St Andrews House,1
434,Canonmills,Stockbridge,11
435,Canonmills,Tollcross,1
436,Canonmills,Victoria Quay,10
437,Canonmills,Waitrose Comely Bank,11
438,Canonmills,Waverley Bridge,1
439,Canonmills,Waverley Court,1
440,Canonmills,Wester Coates Terrace,1
441,Canonmills,Western General Hospital,10
442,Castle Street,Abbeyhill,1
443,Castle Street,Belford Road,1
444,Castle Street,Boroughmuir,10
445,Castle Street,Bristo Square,2
446,Castle Street,Brunswick Place,4
447,Castle Street,Bruntsfield Links,3
448,Castle Street,Canonmills,6
449,Castle Street,Castle Street,35
450,Castle Street,Castle Terrace,3
451,Castle Street,Causewayside,1
452,Castle Street,Chambers Street,1
453,Castle Street,Charlotte Square,4
454,Castle Street,Colinton Road,8
455,Castle Street,Comely Bank Road,5
456,Castle Street,Craigleith Road,2
457,Castle Street,Crichton Street,8
458,Castle Street,Dalry Road Lidl,18
459,Castle Street,Drumsheugh Place,6
460,Castle Street,Duke Street,5
461,Castle Street,Dundas Street,4
462,Castle Street,Dundee Terrace,13
463,Castle Street,Dynamic Earth,2
464,Castle Street,EICC,10
465,Castle Street,East London Street,3
466,Castle Street,Edinburgh Zoo,1
467,Castle Street,Ellersly Road,10
468,Castle Street,Fountainbridge,7
469,Castle Street,George Square,1
470,Castle Street,Gladstone Terrace,1
471,Castle Street,Gorgie Road,8
472,Castle Street,Grassmarket,4
473,Castle Street,Haymarket Station,10
474,Castle Street,Haymarket Terrace,7
475,Castle Street,Heriot Watt - Student Accommodation,1
476,Castle Street,Hillside Crescent,7
477,Castle Street,Holyrood Road,8
478,Castle Street,IGMM - Western General,3
479,Castle Street,Inverleith Row,4
480,Castle Street,Kings Building 2,1
481,Castle Street,Kings Buildings 1,1
482,Castle Street,Lauriston Place,3
483,Castle Street,Leith Walk,6
484,Castle Street,Leith Walk North,1
485,Castle Street,Logie Green Road,2
486,Castle Street,Lothian Road,6
487,Castle Street,Meadow Place,3
488,Castle Street,Meadows East,5
489,Castle Street,Meggetland,6
490,Castle Street,Milton Road - Edinburgh College,2
491,Castle Street,Morningside Road,3
492,Castle Street,Murrayfield,1
493,Castle Street,Ocean Terminal,2
494,Castle Street,Orchard Brae House,4
495,Castle Street,Picardy Place,3
496,Castle Street,Pleasance Courtyard,1
497,Castle Street,Pollock Halls,1
