,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
4127,1819,1822,Heriot Watt - Edinburgh Business School,Edinburgh Park Station,55.9088228790413,-3.320113285176247,55.92738267693901,-3.307442444578868,20
634,253,1727,Kings Building 2,Causewayside,55.92320215516664,-3.1716462453634904,55.93650603148236,-3.1801663476151134,20
916,262,1038,Canonmills,South Trinity Road,55.96280408759764,-3.196283585062929,55.97132539148154,-3.2079635674242586,19
1994,1055,1055,Roseburn Street,Roseburn Street,55.94442555452843,-3.2344977165944333,55.94442555452843,-3.2344977165944333,19
2701,1727,1727,Causewayside,Causewayside,55.93650603148236,-3.1801663476151134,55.93650603148236,-3.1801663476151134,19
3888,1800,1824,Joppa,Duke Street,55.94894930668582,-3.094727261654725,55.96901164826488,-3.16739470303429,19
1715,1039,265,Lothian Road,Meadows East,55.947409199207115,-3.2057654971365537,55.939809466328285,-3.182738850746431,19
3432,1758,2263,Queen Margaret University,Musselburgh Lidl,55.931980482636575,-3.0731046336811687,55.94388031687606,-3.0667539162178628,19
1309,358,1730,Leith Walk,East London Street,55.965039805077325,-3.1766864147848537,55.95995414501485,-3.1871977585476543,19
3597,1767,248,Bruntsfield Links,Bristo Square,55.9371232399911,-3.206431879393449,55.945833715992855,-3.1890530720754664,19
524,250,1737,Victoria Quay,Inverleith Row,55.97761715254634,-3.174126319457628,55.96411787988959,-3.202094747416368,19
3410,1757,1757,Meggetland,Meggetland,55.92758664038103,-3.2336710530441906,55.92758664038103,-3.2336710530441906,19
2669,1727,253,Causewayside,Kings Building 2,55.93650603148236,-3.1801663476151134,55.92320215516664,-3.1716462453634904,19
2257,1096,1096,West Crosscauseway,West Crosscauseway,55.9438359841253,-3.1849514084976818,55.9438359841253,-3.1849514084976818,19
2903,1731,1814,Pleasance Courtyard,Abbeyhill,55.947490592969416,-3.1811121261019646,55.95524788917224,-3.1722162800950704,19
1016,265,253,Meadows East,Kings Building 2,55.939809466328285,-3.182738850746431,55.92320215516664,-3.1716462453634904,19
2883,1731,1024,Pleasance Courtyard,Meadow Place,55.947490592969416,-3.1811121261019646,55.940237631689435,-3.194640214184801,19
2270,1096,1744,West Crosscauseway,Morningside Road,55.9438359841253,-3.1849514084976818,55.92798534979654,-3.209749771944871,19
1891,1051,1051,Warrender Park Road,Warrender Park Road,55.93836921723555,-3.1980326885466184,55.93836921723555,-3.1980326885466184,19
1052,265,1727,Meadows East,Causewayside,55.939809466328285,-3.182738850746431,55.93650603148236,-3.1801663476151134,18
1053,265,1728,Meadows East,Portobello - Kings Road,55.939809466328285,-3.182738850746431,55.957915406923476,-3.118332042090288,18
857,260,1025,Lauriston Place,Dundee Terrace,55.94477165233547,-3.197265856419562,55.93970989541296,-3.2205889336679547,18
2768,1728,1814,Portobello - Kings Road,Abbeyhill,55.957915406923476,-3.118332042090288,55.95524788917224,-3.1722162800950704,18
1162,289,1092,Castle Street,Dalry Road Lidl,55.95150073734976,-3.2031839065252825,55.941791296881284,-3.2224153095965,18
4125,1819,1819,Heriot Watt - Edinburgh Business School,Heriot Watt - Edinburgh Business School,55.9088228790413,-3.320113285176247,55.9088228790413,-3.320113285176247,18
2443,1720,250,Dundas Street,Victoria Quay,55.9607624081837,-3.201278014771333,55.97761715254634,-3.174126319457628,18
2118,1091,1814,Holyrood Road,Abbeyhill,55.94955950619123,-3.180413257527788,55.95524788917224,-3.1722162800950704,18
959,264,265,Pollock Halls,Meadows East,55.94008064125911,-3.171746866852459,55.939809466328285,-3.182738850746431,18
1276,358,250,Leith Walk,Victoria Quay,55.965039805077325,-3.1766864147848537,55.97761715254634,-3.174126319457628,18
3605,1767,260,Bruntsfield Links,Lauriston Place,55.9371232399911,-3.206431879393449,55.94477165233547,-3.197265856419562,18
1360,1017,1024,Crichton Street,Meadow Place,55.94478427951007,-3.1869062454337613,55.940237631689435,-3.194640214184801,18
1022,265,264,Meadows East,Pollock Halls,55.939809466328285,-3.182738850746431,55.94008064125911,-3.171746866852459,18
2765,1728,1800,Portobello - Kings Road,Joppa,55.957915406923476,-3.118332042090288,55.94894930668582,-3.094727261654725,18
3060,1744,246,Morningside Road,Royal Commonwealth Pool,55.92798534979654,-3.209749771944871,55.93900024788878,-3.1739235543155933,18
